instructionType,instructionSymbol,action,stimText,stimVideo,stimAudio,movement,congruency
speech,images/speak.png,go,"""rising""",videos/rising_clip.mp4,audios/rising.wav,arm,congruent
gesture,images/hand.png,go,"""me""",videos/you_clip.mp4,audios/me.wav,hand_wrist,incongruent
speech_gesture,images/speak_gesture1.png,go,"""me""",videos/you_clip.mp4,audios/me.wav,hand_wrist,incongruent
speech,images/speak.png,go,"""me""",videos/you_clip.mp4,audios/me.wav,hand_wrist,incongruent
speech_gesture,images/speak_gesture1.png,nogo,"""you""",videos/me_clip.mp4,audios/you.wav,hand_wrist,incongruent
speech,images/speak.png,go,"""falling""",videos/rising_clip.mp4,audios/falling.wav,arm,incongruent
gesture,images/hand.png,go,"""rising""",videos/falling_clip.mp4,audios/rising.wav,arm,incongruent
speech,images/speak.png,go,"""you""",videos/you_clip.mp4,audios/you.wav,hand_wrist,congruent
speech,images/speak.png,go,"""you""",videos/you_clip.mp4,audios/you.wav,hand_wrist,congruent
speech,images/speak.png,nogo,"""you""",videos/me_clip.mp4,audios/you.wav,hand_wrist,incongruent
gesture,images/hand.png,go,"""falling""",videos/rising_clip.mp4,audios/falling.wav,arm,incongruent
gesture,images/hand.png,go,"""falling""",videos/rising_clip.mp4,audios/falling.wav,arm,incongruent
speech,images/speak.png,go,"""you""",videos/me_clip.mp4,audios/you.wav,hand_wrist,incongruent
speech,images/speak.png,go,"""me""",videos/you_clip.mp4,audios/me.wav,hand_wrist,incongruent
speech_gesture,images/speak_gesture1.png,go,"""falling""",videos/falling_clip.mp4,audios/falling.wav,arm,congruent
speech,images/speak.png,go,"""you""",videos/me_clip.mp4,audios/you.wav,hand_wrist,incongruent
gesture,images/hand.png,go,"""you""",videos/you_clip.mp4,audios/you.wav,hand_wrist,congruent
speech_gesture,images/speak_gesture1.png,go,"""you""",videos/me_clip.mp4,audios/you.wav,hand_wrist,incongruent
gesture,images/hand.png,go,"""you""",videos/me_clip.mp4,audios/you.wav,hand_wrist,incongruent
speech,images/speak.png,nogo,"""falling""",videos/rising_clip.mp4,audios/falling.wav,arm,incongruent
speech_gesture,images/speak_gesture1.png,go,"""falling""",videos/falling_clip.mp4,audios/falling.wav,arm,congruent
gesture,images/hand.png,go,"""you""",videos/you_clip.mp4,audios/you.wav,hand_wrist,congruent
gesture,images/hand.png,go,"""rising""",videos/rising_clip.mp4,audios/rising.wav,arm,congruent
speech,images/speak.png,go,"""falling""",videos/rising_clip.mp4,audios/falling.wav,arm,incongruent
gesture,images/hand.png,go,"""rising""",videos/rising_clip.mp4,audios/rising.wav,arm,congruent
speech_gesture,images/speak_gesture1.png,go,"""falling""",videos/falling_clip.mp4,audios/falling.wav,arm,congruent
